CONS_NO,FLAG,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024
ACC001,0,100,105,110,108,115,120,125,130,128,135,140,145
ACC002,1,500,520,510,505,495,490,485,480,475,470,465,460
ACC003,0,250,255,260,258,265,270,275,280,278,285,290,295
ACC004,0,75,78,80,82,85,88,90,92,95,98,100,102
ACC005,1,800,820,810,805,795,790,785,780,775,770,765,760
ACC006,0,150,155,160,158,165,170,175,180,178,185,190,195
ACC007,0,300,305,310,308,315,320,325,330,328,335,340,345
ACC008,1,1200,1220,1210,1205,1195,1190,1185,1180,1175,1170,1165,1160
ACC009,0,45,48,50,52,55,58,60,62,65,68,70,72
ACC010,0,600,610,620,615,625,630,635,640,638,645,650,655
